ModelID	MSIScore	LoHFraction	WGD	CIN	Ploidy	Aneuploidy
ACH-000939	74.85					
ACH-000834	3.94	0.11804164938886	1.0	0.467295465013188	2.99096978272832	18.0
ACH-002690	2.23	0.422490992866309	1.0	0.622996383139343	2.88672344102662	27.0
ACH-003106	3.06	0.0875410880773226	0.0	0.510941490223289	2.52422936571437	24.0
ACH-000365	2.22	0.0636688461045357	0.0	0.266242570317815	2.18972516640639	10.0
ACH-000030	2.05	0.3613624713103	1.0	0.717464527293718	3.44942408389127	18.0
ACH-001322	2.59	0.0959357158946376	0.0	0.151940546386504	2.24607216316297	4.0
ACH-001059	2.11	0.0029265243873385	0.0	0.0300173299845324	2.0227511928191	1.0
ACH-000227	1.76	0.0513343147619715	0.0	0.0819608033088102	2.0236348445459	3.0
ACH-001736	1.79	0.0620847135191337	0.0	0.107766600220155	2.13976576264111	3.0
ACH-002538	3.13	0.401225103943322	1.0	0.656958440842798	2.92055839252591	24.0
ACH-000725	1.08	0.391077672840939	1.0	0.815340537727255	3.52826049688377	35.0
ACH-002401	1.97	0.255173055582956	1.0	0.619135419395052	2.99451982669895	22.0
ACH-002024	3.13	0.582816780594467	1.0	0.592448117169075	2.92889383151646	26.0
ACH-000572	1.08	0.288254107076427	1.0	0.683954235445734	3.53641944430967	27.0
ACH-000484	2.31	0.128348246325043	0.0	0.403695719812176	2.18832474277944	14.0
ACH-002044	2.74	0.370623667651932	1.0	0.565024244893935	2.81559956551202	22.0
ACH-003296	2.6					
ACH-000661	2.22	0.410583461618809	1.0	0.624835907909538	2.61256493545536	28.0
ACH-000048	1.94	0.524499176852434	1.0	0.551159334679052	4.14648933908151	30.0
ACH-000188	0.98	0.302196389272512	1.0	0.566032690729866	3.9882264492482	18.0
ACH-000929	3.61	0.294543262871988	1.0	0.717579491786181	3.37025188222912	22.0
ACH-000128	2.15	0.123443776426177	1.0	0.713856255128808	4.34301883775382	19.0
ACH-000406	2.25	0.256285130144164	1.0	0.667887222550873	2.76459129729619	20.0
ACH-001675	1.83					
ACH-002790	2.75	0.0084312371660811	0.0	0.0129294136916681	2.11218423180187	0.0
ACH-001295	1.91	0.0942938397266632	0.0	0.218490904908601	2.2516939995515	6.0
ACH-002710	2.22	0.171626780337529	1.0	0.497323954266456	3.17345691880431	19.0
ACH-000621	3.66					
ACH-000961	87.3					
ACH-000588	2.88	0.223775611374857	1.0	0.66940261635889	3.58294485385701	24.0
ACH-001817	2.23	0.0	0.0	0.0003684748205527	2.00114495628781	0.0
ACH-001986	1.74	0.0823608285787586	1.0	0.474790412285073	3.36935794158602	18.0
ACH-002529	2.77					
ACH-000680	2.06	0.229445996131881	1.0	0.71621326933835	3.09800508071057	22.0
ACH-000286	2.42	0.414810757192312	1.0	0.577819836418691	2.96673946680448	21.0
ACH-001662	3.63	0.586990509206962	1.0	0.67753037399723	3.06586857261469	24.0
ACH-002780	2.78	0.153070869198109	0.0	0.522117105957436	2.54895772814296	27.0
ACH-000736	3.15	0.223585308546303	0.0	0.371729083398269	2.1613447971033	10.0
ACH-000108	2.83					
ACH-002539	2.91	0.128742751849847	1.0	0.458800508360745	3.50235612076837	28.0
ACH-000805	2.07	0.0563416986926407	1.0	0.393293136238369	4.38353835503079	13.0
ACH-002463	2.02	0.0094600304190802	0.0	0.0514899488794708	2.14610124513113	1.0
ACH-000838	3.48					
ACH-000166	2.55	0.0382234476432423	0.0	0.226645072680991	2.18608557091475	11.0
ACH-000589	1.2					
ACH-001197	2.45	0.0874746516157299	0.0	0.144275780386188	2.07482081954456	6.0
ACH-000273	2.31	0.306547233814437	1.0	0.689766970413041	2.79691465032688	28.0
ACH-000865	1.51	0.372856058521221	1.0	0.648164718540721	2.58202584064542	25.0
ACH-001433	2.67	0.124275217084664	1.0	0.430283339843646	3.94593915340478	14.0
ACH-001711	2.73	0.055518715952224	1.0	0.436267334268343	3.66478963258364	15.0
ACH-002066	2.76					
ACH-000298	1.03	0.252513875517411	1.0	0.686037636044031	4.51175439680163	23.0
ACH-000421	2.22	0.270290129780818	0.0	0.342442202118128	1.95868974271795	12.0
ACH-000046	1.13	0.704867111046535	1.0	0.350522520531553	2.60998491850459	33.0
ACH-000883	1.65	0.142216444793033	1.0	0.650077848414466	3.65897825877174	19.0
ACH-002290	2.57	0.0937467895101428	0.0	0.172357719280457	2.16179552989392	2.0
ACH-000397	2.56					
ACH-000155	1.67	0.236420394576461	1.0	0.617407634888876	2.81364937085616	20.0
ACH-000835	1.98	0.175077042434005	1.0	0.47645831727187	2.98355543325566	17.0
ACH-000329	1.87	0.021483711399922	0.0	0.125826667863572	2.18935799448756	4.0
ACH-001643	2.66					
ACH-000940	84.89					
ACH-000011	2.21	0.271544428724678	1.0	0.652346921253422	2.76155660273048	18.0
ACH-002706	2.76					
ACH-002798	2.56	0.0096819556238737	0.0	0.0161459889834439	2.12154379043397	0.0
ACH-000204	1.96	0.18550805214943	1.0	0.634844487332845	3.82442127688704	22.0
ACH-000732	2.28	0.132396133163975	0.0	0.277410109682943	2.06329343239231	9.0
ACH-002794	1.89	0.301753547450645	1.0	0.558088834951083	2.83176663736892	21.0
ACH-000941	53.07	0.103602512981125	1.0	0.475885524786207	3.83589283783557	17.0
ACH-003119	2.32	0.247566591666879	1.0	0.705649671253173	3.21444856292455	26.0
ACH-000481	1.21					
ACH-000976	2.81	0.214921093588035	1.0	0.601101223104736	3.24034805978592	20.0
ACH-001303	2.18	0.0229683266403135	0.0	0.20608763194412	2.25002607224826	6.0
ACH-000488	1.26	0.416496456718515	1.0	0.714989225358233	2.89863452536941	22.0
ACH-000724	1.53	0.222676515523662	1.0	0.820760992530955	4.60143408764546	34.0
ACH-001306	2.1	0.0789491258924427	1.0	0.701779842205298	4.33817394612557	22.0
ACH-001227	2.22	0.233556274730672	1.0	0.688049548888672	3.45428225243432	24.0
ACH-002662	2.52	0.237352594807632	1.0	0.573394165742294	3.67215578865608	25.0
ACH-000635	2.2	0.493798045822501	1.0	0.684883491003987	3.59650252174603	29.0
ACH-002465	2.03					
ACH-000272	1.71	0.13006631657521	1.0	0.31722198844782	3.80456967389063	9.0
ACH-000360	1.72	0.117063680229747	1.0	0.742750017129432	4.74844163263464	31.0
ACH-000391	1.9					
ACH-001571	2.58					
ACH-000201	1.6					
ACH-000968	2.0	0.151529142530366	1.0	0.535725286438869	3.75327704308101	20.0
ACH-000374	2.78	0.518920527616468	1.0	0.803918686356341	3.96420199693856	29.0
